title,url,desc
James Foley's captors originally asked for huge ransom,http://www.cnn.com/2014/08/21/world/meast/isis-james-foley/index.html?hpt=hp_t2,"The captors of American journalist James Foley originally demanded a ransom of 100 million euros ($132.5 million) for his release, according to GlobalPost spokesman Richard Byrne."
James Foley's captors originally asked for huge ransom,http://www.cnn.com/2014/08/21/world/meast/isis-james-foley/index.html?hpt=hp_t2,"The captors of American journalist James Foley originally demanded a ransom of 100 million euros ($132.5 million) for his release, according to GlobalPost spokesman Richard Byrne."
James Foley's captors originally asked for huge ransom,http://www.cnn.com/2014/08/21/world/meast/isis-james-foley/index.html?hpt=hp_t2,"The captors of American journalist James Foley originally demanded a ransom of 100 million euros ($132.5 million) for his release, according to GlobalPost spokesman Richard Byrne."
JOHN THE EXECUTIONER...,http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/11047109/British-jihadist-who-beheaded-journalist-is-Londoner-called-John.html,"The jihadist who beheaded the American journalist James Foley is believed to be British born militant from London who calls himself John, it can be revealed."
The time as come,http://www.nytimes.com/,"The militants had pressed the United States to provide several million dollars for the release of James Foley, an American journalist killed in retaliation for recent airstrikes in Iraq. "
Broadcasting pain through hip hop...,http://www.washingtonpost.com/politics/in-missouri-artists-broadcasting-pain-through-hip-hop/2014/08/20/60ad6e94-69db-4c99-8714-066b9f52399f_story.html,ST. LOUIS — It didn’t take long for the lyrics to begin flowing from this city’s hip-hop scene to the streets.
fasdfsa,http://www.drudgereport.com/,sadfjlaksdgjflkasdjglk;asjglakds;gjads;gjk;asjgk;adsgjak;sg
Get it On how To gTE ti,http://www.how.com/,ST. LOUIS — It didn’t take long for the lyrics to begin flowing from this city’s hip-hop scene to the streets.
Broadcasting pain through hip hop...,http://www.wabcradio.com/,safkasd;jl;aksgjlak;dsgjla;dksgjalks;gjlaksd;gjlk;adsjgakl;dsg
Home is the brave,http://www.google.com/,ksajfl;asdjflkasdjglka;sdjglk;asdjglkasdjglka;sdgasdgasdgads
sfasf,http://www.cnn.com/,sadfas;jla;sgjlak;dsjgl;asgjl;asgkasdfsf
asdfjalsjgasklgj,http://www.cnn.com/,dafsgsgdsasgfadsgashadshgawrhrh
hhuguguyguiyu,www.yahoo.com,dasjfa;lfjal;ksjadl;skgjadkl;sgjadkls;gjs
Love is in the air,www.love.com,Hahahahhahahahahhaahhahahahah Right????????
Free Hug For Life,www.hug.com,asdjfla;sjflaks;jglkas;jgkas;lgjakls;dg
